order_id,order_date,hold_start,hold_end,hold_duration_hours,hold_status,hold_reason,root_cause,resolution_action,business_unit,region,sub_region,customer_name,product_line,currency,order_value,sales_rep,priority
SO-2025-HK-00011,2025-10-24,2025-10-24 03:29:00,2025-10-24 12:41:00,9.2,Resolved,Customer Master Data Incomplete,Tax ID not on file,Credit approved,Automotive,APAC,Japan,Dell Technologies Japan,DRIVE,JPY,2133074,Emily Zhang,Urgent
SO-2025-HK-00012,2025-12-10,2025-12-10 07:31:00,,21.5,Open,Missing Price List,BU price list not uploaded,,Gaming,APAC,Korea,Samsung Electronics Korea,GeForce RTX,KRW,56326,Raj Patel,Urgent
SO-2025-EU-00013,2025-10-12,2025-10-12 01:54:00,2025-10-12 10:35:00,8.7,Resolved,Customer Master Data Incomplete,New customer not set up in SAP,Customer contacted for info,Edge AI,EMEA,France,Renault Group,Jetson,EUR,68569,Maria Garcia,Urgent
SO-2026-US-00014,2026-01-07,2026-01-07 07:48:00,,36.7,Escalated,Discount Approval Pending,Discount exceeds threshold,,Professional Visualization,Americas,Canada,BlackBerry QNX,Quadro,CAD,53253,Kevin Park,Standard
SO-2025-HK-00015,2025-12-06,2025-12-06 03:15:00,,38.2,Open,Currency/FX Mismatch,Order currency differs from price list,,Automotive,APAC,India,Infosys Technologies,DRIVE,INR,1472367,James Chen,Standard
SO-2025-HK-00016,2025-12-03,2025-12-03 07:39:00,,85.4,Escalated,Currency/FX Mismatch,Order currency differs from price list,,Professional Visualization,APAC,India,Tata Consultancy Services India,Quadro,INR,265072,James Chen,Urgent
SO-2025-HK-00017,2025-11-23,2025-11-23 05:06:00,,51.4,Open,Currency/FX Mismatch,FX rate expired,,Gaming,APAC,Hong Kong,Lenovo Hong Kong Ltd,GeForce RTX,HKD,34419,John Smith,Urgent
SO-2025-US-00018,2025-11-29,2025-11-29 01:57:00,2025-11-29 10:44:00,8.8,Resolved,Discount Approval Pending,Discount exceeds threshold,Approved by regional manager,Professional Visualization,Americas,Brazil,Petrobras Brazil,Quadro,BRL,157458,Priya Sharma,Standard
SO-2026-HK-00019,2026-01-09,2026-01-09 03:55:00,2026-01-09 07:51:00,3.9,Resolved,Currency/FX Mismatch,Order currency differs from price list,Currency corrected,Gaming,APAC,India,Infosys Technologies,GeForce RTX,INR,31490,John Smith,Standard
SO-2025-HK-00020,2025-11-27,2025-11-27 07:43:00,2025-11-27 18:44:00,11.0,Resolved,Missing Price List,BU price list not uploaded,Manual price entry,Gaming,APAC,India,Tata Consultancy Services India,GeForce RTX,INR,185152,Raj Patel,Standard
SO-2026-HK-00021,2026-01-11,2026-01-11 05:58:00,2026-01-11 10:48:00,4.8,Resolved,Regional Price Override Required,Country-specific pricing not configured,Standard pricing applied,Edge AI,APAC,Taiwan,Gigabyte Technology Taiwan,Jetson,TWD,59275,Yuki Tanaka,Standard
SO-2025-HK-00022,2025-12-29,2025-12-29 03:59:00,2026-01-03 00:47:00,116.8,Resolved,Customer Master Data Incomplete,Credit check pending,Customer data updated,Data Center,APAC,Australia,Data#3 Australia,HGX,AUD,936124,Raj Patel,Critical
SO-2025-HK-00023,2025-12-30,2025-12-30 05:19:00,,89.2,Escalated,Regional Price Override Required,Competitive bid requires special pricing,,OEM,APAC,Singapore,Supermicro Singapore,Quadro,SGD,285224,Kevin Park,Urgent
SO-2025-HK-00024,2025-12-29,2025-12-29 00:40:00,2025-12-30 00:35:00,23.9,Resolved,Discount Approval Pending,Non-standard deal structure,Rejected - repriced,Gaming,APAC,Hong Kong,MSI Computer Hong Kong,GeForce RTX,HKD,55208,Emily Zhang,Urgent
SO-2025-EU-00025,2025-10-24,2025-10-24 03:35:00,,33.2,Open,Regional Price Override Required,Country-specific pricing not configured,,Data Center,EMEA,Sweden,Volvo Group,DGX,SEK,1372165,Michael Wong,Urgent
SO-2025-HK-00026,2025-12-28,2025-12-28 03:25:00,2025-12-28 16:47:00,13.4,Resolved,Discount Approval Pending,Approver out of office,Auto-approved after escalation,Gaming,APAC,Australia,Data#3 Australia,GeForce RTX,AUD,63200,David Liu,Urgent
SO-2025-HK-00027,2025-10-23,2025-10-23 07:28:00,,73.5,Escalated,Regional Price Override Required,Government/education discount,,Data Center,APAC,Japan,Fujitsu Japan,DGX,JPY,1867132,Anna Mueller,Critical
SO-2025-HK-00028,2025-10-27,2025-10-27 01:08:00,,95.0,Escalated,Currency/FX Mismatch,Order currency differs from price list,,Gaming,APAC,India,Infosys Technologies,GeForce RTX,INR,29368,Robert Johnson,Urgent
SO-2025-EU-00029,2025-12-06,2025-12-06 00:55:00,2025-12-06 16:36:00,15.7,Resolved,Discount Approval Pending,Non-standard deal structure,Rejected - repriced,Gaming,EMEA,UK,ARM Holdings UK,GeForce RTX,GBP,41598,Priya Sharma,Critical
SO-2025-HK-00030,2025-11-13,2025-11-13 02:55:00,2025-11-13 06:40:00,3.8,Resolved,System Error,SAP pricing condition error,SAP config corrected,Edge AI,APAC,Korea,Samsung Electronics Korea,Jetson,KRW,27249,Yuki Tanaka,Standard
SO-2025-EU-00031,2025-12-26,2025-12-26 03:55:00,2025-12-26 12:33:00,8.6,Resolved,Missing Price List,New product not in system,Manual price entry,Gaming,EMEA,France,Renault Group,GeForce RTX,EUR,47692,David Liu,Standard
SO-2025-US-00032,2025-11-02,2025-11-02 01:29:00,,30.0,Escalated,Discount Approval Pending,Discount exceeds threshold,,Data Center,Americas,Brazil,Embraer SA,DGX,BRL,1008600,Lisa Anderson,Urgent
SO-2026-HK-00033,2026-01-04,2026-01-04 06:07:00,2026-01-04 10:15:00,4.1,Resolved,System Error,Interface sync failure,SAP config corrected,Automotive,APAC,Korea,LG Electronics Korea,DRIVE,KRW,3561340,Raj Patel,Standard
SO-2026-HK-00034,2026-01-10,2026-01-10 05:56:00,2026-01-10 16:09:00,10.2,Resolved,Expired Quote,Price increase since quote,Quote reissued,Edge AI,APAC,India,Tata Consultancy Services India,Jetson,INR,35250,Emily Zhang,Standard
SO-2025-HK-00035,2025-12-11,2025-12-11 04:04:00,2025-12-11 20:37:00,16.6,Resolved,Missing Price List,New product not in system,Manual price entry,Data Center,APAC,Singapore,Razer Singapore,Tesla/A100,SGD,485601,Priya Sharma,Urgent
SO-2025-HK-00036,2025-10-14,2025-10-14 01:31:00,2025-10-14 05:41:00,4.2,Resolved,Currency/FX Mismatch,Multi-currency order,Manual override applied,Automotive,APAC,Hong Kong,MSI Computer Hong Kong,DRIVE,HKD,591783,Anna Mueller,Critical
SO-2025-EU-00037,2025-11-20,2025-11-20 07:26:00,2025-11-20 10:41:00,3.2,Resolved,Currency/FX Mismatch,Order currency differs from price list,FX rate updated,Professional Visualization,EMEA,Sweden,Volvo Group,Quadro,SEK,62614,Maria Garcia,Standard
SO-2025-EU-00038,2025-12-19,2025-12-19 07:13:00,2025-12-19 14:17:00,7.1,Resolved,Missing Price List,New product not in system,Price list uploaded by BU team,Data Center,EMEA,UK,BAE Systems UK,Tesla/A100,GBP,924646,John Smith,Standard
SO-2025-HK-00039,2025-10-12,2025-10-12 04:16:00,,28.4,Escalated,Missing Price List,New product not in system,,Gaming,APAC,Hong Kong,Lenovo Hong Kong Ltd,GeForce RTX,HKD,77695,James Chen,Standard
SO-2025-HK-00040,2025-11-25,2025-11-25 04:29:00,,6.1,Open,Customer Master Data Incomplete,Tax ID not on file,,Data Center,APAC,Singapore,Razer Singapore,Tesla/A100,SGD,426783,Anna Mueller,Urgent
SO-2025-EU-00041,2025-10-28,2025-10-28 02:05:00,2025-10-28 19:27:00,17.4,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Automotive,EMEA,Germany,BMW Group Germany,DRIVE,EUR,2885252,Yuki Tanaka,Standard
SO-2025-US-00042,2025-11-11,2025-11-11 05:03:00,2025-11-11 06:36:00,1.6,Resolved,Missing Price List,New product not in system,Manual price entry,Professional Visualization,Americas,US East,Microsoft Azure,Quadro,USD,167824,Anna Mueller,Standard
SO-2026-HK-00043,2026-01-03,2026-01-03 00:53:00,2026-01-03 08:24:00,7.5,Resolved,Missing Price List,BU price list not uploaded,Escalated to product management,Data Center,APAC,Hong Kong,MSI Computer Hong Kong,HGX,HKD,1178156,Anna Mueller,Critical
SO-2025-EU-00044,2025-10-26,2025-10-26 07:45:00,,56.2,Open,Discount Approval Pending,Discount exceeds threshold,,Gaming,EMEA,Sweden,Ericsson Sweden,GeForce RTX,SEK,41910,Emily Zhang,Critical
SO-2025-HK-00045,2025-10-10,2025-10-10 02:55:00,2025-10-10 15:54:00,13.0,Resolved,Customer Master Data Incomplete,Tax ID not on file,Credit approved,Gaming,APAC,Singapore,Razer Singapore,GeForce RTX,SGD,34694,Michael Wong,Standard
SO-2025-HK-00046,2025-11-19,2025-11-19 02:02:00,,60.3,Open,Missing Price List,Price list version expired,,Automotive,APAC,Australia,Data#3 Australia,DRIVE,AUD,2101230,Michael Wong,Critical
SO-2025-HK-00047,2025-12-01,2025-12-01 03:26:00,2025-12-01 17:12:00,13.8,Resolved,Discount Approval Pending,Discount exceeds threshold,Rejected - repriced,Professional Visualization,APAC,India,Tata Consultancy Services India,Quadro,INR,92846,Yuki Tanaka,Urgent
SO-2025-EU-00048,2025-12-17,2025-12-17 01:22:00,,46.2,Open,Missing Price List,Price list version expired,,Gaming,EMEA,UK,BAE Systems UK,GeForce RTX,GBP,135728,Pierre Durand,Standard
SO-2026-EU-00049,2026-01-09,2026-01-09 02:02:00,2026-01-11 01:00:00,47.0,Resolved,Regional Price Override Required,Country-specific pricing not configured,Standard pricing applied,Gaming,EMEA,Sweden,Ericsson Sweden,GeForce RTX,SEK,66760,Lisa Anderson,Standard
SO-2025-HK-00050,2025-10-29,2025-10-29 00:35:00,,69.2,Open,Discount Approval Pending,Discount exceeds threshold,,Gaming,APAC,Korea,Samsung Electronics Korea,GeForce RTX,KRW,93187,Yuki Tanaka,Urgent
SO-2025-HK-00051,2025-12-01,2025-12-01 05:56:00,2025-12-01 21:45:00,15.8,Resolved,Missing Price List,BU price list not uploaded,Escalated to product management,Professional Visualization,APAC,Singapore,Razer Singapore,Quadro,SGD,254488,Kevin Park,Standard
SO-2025-US-00052,2025-10-21,2025-10-21 07:24:00,2025-10-22 08:31:00,25.1,Resolved,Missing Price List,New product not in system,Escalated to product management,Data Center,Americas,Brazil,Petrobras Brazil,DGX,BRL,935756,Sophie Martin,Standard
SO-2025-HK-00053,2025-10-07,2025-10-07 03:53:00,2025-10-07 12:16:00,8.4,Resolved,Discount Approval Pending,Non-standard deal structure,Auto-approved after escalation,OEM,APAC,Korea,LG Electronics Korea,Quadro,KRW,249952,James Chen,Standard
SO-2025-HK-00054,2025-12-24,2025-12-24 01:36:00,,18.3,Open,Customer Master Data Incomplete,Missing billing address,,Data Center,APAC,Singapore,Razer Singapore,HGX,SGD,708049,Priya Sharma,Urgent
SO-2025-HK-00055,2025-10-01,2025-10-01 04:25:00,2025-10-02 22:59:00,42.6,Resolved,Regional Price Override Required,Government/education discount,Standard pricing applied,Professional Visualization,APAC,Korea,LG Electronics Korea,Quadro,KRW,48997,Pierre Durand,Urgent
SO-2026-US-00056,2026-01-05,2026-01-05 05:26:00,2026-01-05 10:01:00,4.6,Resolved,Missing Price List,New product not in system,Escalated to product management,Professional Visualization,Americas,US West,Tesla Inc,Quadro,USD,109816,Yuki Tanaka,Standard
SO-2025-EU-00057,2025-11-04,2025-11-04 06:43:00,,4.9,Open,Missing Price List,New product not in system,,Data Center,EMEA,Netherlands,Philips Healthcare,HGX,EUR,988851,Raj Patel,Standard
SO-2025-HK-00058,2025-10-01,2025-10-01 06:41:00,,18.9,Open,Regional Price Override Required,Government/education discount,,Automotive,APAC,Singapore,Razer Singapore,DRIVE,SGD,1137241,Robert Johnson,Critical
SO-2025-HK-00059,2025-12-26,2025-12-26 00:40:00,2025-12-27 18:12:00,41.5,Resolved,Regional Price Override Required,Country-specific pricing not configured,Standard pricing applied,Edge AI,APAC,Australia,Data#3 Australia,Jetson,AUD,77337,Emily Zhang,Urgent
SO-2025-HK-00060,2025-12-09,2025-12-09 04:49:00,2025-12-10 02:48:00,22.0,Resolved,Expired Quote,Quote validity exceeded,Original price honored,Data Center,APAC,Australia,Data#3 Australia,Tesla/A100,AUD,1051042,Anna Mueller,Standard
SO-2025-US-00061,2025-12-10,2025-12-10 03:31:00,2025-12-10 07:40:00,4.1,Resolved,Customer Master Data Incomplete,Missing billing address,Credit approved,Professional Visualization,Americas,US West,Amazon Web Services,Quadro,USD,93883,Maria Garcia,Standard
SO-2026-HK-00062,2026-01-12,2026-01-12 05:28:00,2026-01-12 08:54:00,3.4,Resolved,Currency/FX Mismatch,FX rate expired,Manual override applied,Automotive,APAC,Japan,Dell Technologies Japan,DRIVE,JPY,2587816,Maria Garcia,Standard
SO-2025-US-00063,2025-10-26,2025-10-26 03:08:00,2025-10-27 07:11:00,28.1,Resolved,Discount Approval Pending,Discount exceeds threshold,Approved by regional manager,Gaming,Americas,Brazil,Petrobras Brazil,GeForce RTX,BRL,178599,Robert Johnson,Standard
SO-2025-EU-00064,2025-11-13,2025-11-13 06:25:00,,47.4,Open,Regional Price Override Required,Country-specific pricing not configured,,Data Center,EMEA,UK,ARM Holdings UK,DGX,GBP,701936,David Liu,Urgent
SO-2025-EU-00065,2025-10-15,2025-10-15 05:31:00,2025-10-15 06:01:00,0.5,Resolved,Currency/FX Mismatch,Order currency differs from price list,Currency corrected,OEM,EMEA,Netherlands,ASML Netherlands,Quadro,EUR,1305418,Raj Patel,Urgent
SO-2026-HK-00066,2026-01-02,2026-01-02 04:25:00,2026-01-02 11:16:00,6.9,Resolved,Missing Price List,Price list version expired,Manual price entry,Gaming,APAC,Korea,Samsung Electronics Korea,GeForce RTX,KRW,159624,Maria Garcia,Urgent
SO-2026-HK-00067,2026-01-28,2026-01-28 02:53:00,2026-01-28 07:10:00,4.3,Resolved,Currency/FX Mismatch,Order currency differs from price list,FX rate updated,Professional Visualization,APAC,India,Infosys Technologies,Quadro,INR,289912,Lisa Anderson,Urgent
SO-2026-EU-00068,2026-01-24,2026-01-24 00:46:00,2026-01-24 05:23:00,4.6,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Data Center,EMEA,Sweden,Ericsson Sweden,HGX,SEK,960731,David Liu,Standard
SO-2025-US-00069,2025-10-30,2025-10-30 04:55:00,,81.5,Escalated,Regional Price Override Required,Competitive bid requires special pricing,,Gaming,Americas,US West,Amazon Web Services,GeForce RTX,USD,40226,Pierre Durand,Critical
SO-2025-US-00070,2025-10-25,2025-10-25 05:22:00,2025-10-25 06:39:00,1.3,Resolved,Currency/FX Mismatch,Multi-currency order,Currency corrected,OEM,Americas,Brazil,Petrobras Brazil,Quadro,BRL,285736,Michael Wong,Standard
SO-2025-US-00071,2025-11-18,2025-11-18 01:48:00,,19.3,Open,Discount Approval Pending,Non-standard deal structure,,Edge AI,Americas,Brazil,Embraer SA,Jetson,BRL,96924,Yuki Tanaka,Standard
SO-2025-HK-00072,2025-11-25,2025-11-25 00:49:00,,23.1,Open,Missing Price List,BU price list not uploaded,,Data Center,APAC,Australia,Fujitsu Australia,DGX,AUD,610596,Anna Mueller,Standard
SO-2025-HK-00073,2025-11-06,2025-11-06 07:56:00,2025-11-06 16:10:00,8.2,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Gaming,APAC,India,Infosys Technologies,GeForce RTX,INR,126809,Thomas Fischer,Urgent
SO-2025-EU-00074,2025-12-19,2025-12-19 07:00:00,2025-12-19 12:15:00,5.3,Resolved,Currency/FX Mismatch,Order currency differs from price list,Manual override applied,Gaming,EMEA,UK,ARM Holdings UK,GeForce RTX,GBP,114304,Pierre Durand,Urgent
SO-2025-US-00075,2025-11-11,2025-11-11 06:04:00,2025-11-11 16:29:00,10.4,Resolved,Missing Price List,Price list version expired,Price list uploaded by BU team,Data Center,Americas,Brazil,Petrobras Brazil,Tesla/A100,BRL,868902,Kevin Park,Standard
SO-2025-HK-00076,2025-11-04,2025-11-04 00:38:00,,57.6,Open,Missing Price List,Price list version expired,,Data Center,APAC,Singapore,Razer Singapore,DGX,SGD,1327982,Emily Zhang,Critical
SO-2026-HK-00077,2026-01-26,2026-01-26 06:53:00,2026-01-27 09:18:00,26.4,Resolved,Discount Approval Pending,Non-standard deal structure,Auto-approved after escalation,Automotive,APAC,India,Infosys Technologies,DRIVE,INR,5350077,Maria Garcia,Standard
SO-2025-US-00078,2025-10-26,2025-10-26 07:34:00,2025-10-26 16:45:00,9.2,Resolved,Missing Price List,New product not in system,Price list uploaded by BU team,Data Center,Americas,US East,Johns Hopkins University,Tesla/A100,USD,1375443,Yuki Tanaka,Urgent
SO-2026-EU-00079,2026-01-16,2026-01-16 07:19:00,,54.7,Open,Missing Price List,BU price list not uploaded,,OEM,EMEA,Switzerland,CERN Switzerland,Quadro,CHF,194550,Robert Johnson,Critical
SO-2025-EU-00080,2025-11-15,2025-11-15 01:39:00,2025-11-15 11:17:00,9.6,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Edge AI,EMEA,France,Dassault Systemes France,Jetson,EUR,52394,Michael Wong,Critical
SO-2026-HK-00081,2026-01-16,2026-01-16 02:11:00,2026-01-16 06:39:00,4.5,Resolved,Discount Approval Pending,Discount exceeds threshold,Rejected - repriced,Data Center,APAC,Korea,LG Electronics Korea,DGX,KRW,1366125,Priya Sharma,Critical
SO-2026-HK-00082,2026-01-03,2026-01-03 06:10:00,2026-01-04 23:52:00,41.7,Resolved,Regional Price Override Required,Government/education discount,Regional price approved,Gaming,APAC,Hong Kong,ASUS Computer HK,GeForce RTX,HKD,90547,Kevin Park,Standard
SO-2025-HK-00083,2025-12-13,2025-12-13 04:22:00,2025-12-13 18:53:00,14.5,Resolved,Regional Price Override Required,Competitive bid requires special pricing,Regional price approved,Data Center,APAC,Korea,LG Electronics Korea,DGX,KRW,648914,Pierre Durand,Standard
SO-2025-HK-00084,2025-11-13,2025-11-13 05:47:00,,58.5,Open,Missing Price List,Price list version expired,,Data Center,APAC,India,Tata Consultancy Services India,Tesla/A100,INR,847032,Pierre Durand,Critical
SO-2025-EU-00085,2025-10-26,2025-10-26 01:43:00,2025-10-26 11:11:00,9.5,Resolved,Customer Master Data Incomplete,Credit check pending,Customer data updated,Automotive,EMEA,France,Renault Group,DRIVE,EUR,4353761,Kevin Park,Urgent
SO-2025-HK-00086,2025-11-01,2025-11-01 05:53:00,2025-11-01 08:12:00,2.3,Resolved,Customer Master Data Incomplete,Tax ID not on file,Credit approved,Gaming,APAC,Hong Kong,MSI Computer Hong Kong,GeForce RTX,HKD,95867,James Chen,Standard
SO-2025-US-00087,2025-11-30,2025-11-30 07:54:00,,37.1,Open,Regional Price Override Required,Country-specific pricing not configured,,Automotive,Americas,US West,Amazon Web Services,DRIVE,USD,3186386,Sarah Kim,Urgent
SO-2026-US-00088,2026-01-26,2026-01-26 03:59:00,2026-01-27 12:20:00,32.3,Resolved,Discount Approval Pending,Approver out of office,Approved by regional manager,Professional Visualization,Americas,Canada,Shopify Canada,Quadro,CAD,110545,Kevin Park,Urgent
SO-2025-US-00089,2025-12-01,2025-12-01 04:56:00,2025-12-01 13:51:00,8.9,Resolved,Missing Price List,BU price list not uploaded,Escalated to product management,Data Center,Americas,US West,Amazon Web Services,DGX,USD,806172,Michael Wong,Standard
SO-2025-EU-00090,2025-11-05,2025-11-05 02:16:00,,33.3,Open,System Error,Interface sync failure,,Professional Visualization,EMEA,UK,ARM Holdings UK,Quadro,GBP,78728,Maria Garcia,Standard
SO-2026-US-00091,2026-01-15,2026-01-15 06:21:00,2026-01-17 00:27:00,42.1,Resolved,Regional Price Override Required,Country-specific pricing not configured,Regional price approved,Data Center,Americas,US West,Meta Platforms Inc,DGX,USD,620334,Kevin Park,Standard
SO-2026-HK-00092,2026-01-27,2026-01-27 01:09:00,2026-01-28 01:08:00,24.0,Resolved,Discount Approval Pending,Discount exceeds threshold,Approved by regional manager,Data Center,APAC,Singapore,Razer Singapore,DGX,SGD,1085843,Sarah Kim,Urgent
SO-2026-HK-00093,2026-01-19,2026-01-19 01:32:00,2026-01-19 05:13:00,3.7,Resolved,Currency/FX Mismatch,Multi-currency order,FX rate updated,Gaming,APAC,Taiwan,Gigabyte Technology Taiwan,GeForce RTX,TWD,36615,James Chen,Critical
SO-2025-US-00094,2025-11-16,2025-11-16 07:35:00,2025-11-16 16:38:00,9.1,Resolved,Currency/FX Mismatch,Multi-currency order,Manual override applied,OEM,Americas,US West,Meta Platforms Inc,Quadro,USD,264045,Thomas Fischer,Standard
SO-2025-US-00095,2025-11-22,2025-11-22 03:06:00,,78.2,Escalated,Customer Master Data Incomplete,Missing billing address,,Data Center,Americas,Brazil,Petrobras Brazil,HGX,BRL,1194626,Maria Garcia,Urgent
SO-2025-US-00096,2025-12-09,2025-12-09 02:52:00,2025-12-09 14:39:00,11.8,Resolved,Expired Quote,Quote validity exceeded,Quote reissued,OEM,Americas,US East,Lockheed Martin,GeForce RTX,USD,159365,Pierre Durand,Urgent
SO-2025-EU-00097,2025-11-18,2025-11-18 01:02:00,2025-11-18 12:32:00,11.5,Resolved,Customer Master Data Incomplete,Credit check pending,Credit approved,Gaming,EMEA,UK,BAE Systems UK,GeForce RTX,GBP,171535,Raj Patel,Urgent
SO-2025-US-00098,2025-10-12,2025-10-12 04:30:00,,25.3,Escalated,Missing Price List,BU price list not uploaded,,Gaming,Americas,Brazil,Petrobras Brazil,GeForce RTX,BRL,96513,Raj Patel,Standard
SO-2025-EU-00099,2025-11-20,2025-11-20 03:08:00,2025-11-20 05:04:00,1.9,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Professional Visualization,EMEA,Netherlands,ASML Netherlands,Quadro,EUR,160260,Michael Wong,Urgent
SO-2025-EU-00100,2025-11-18,2025-11-18 04:25:00,2025-11-18 07:38:00,3.2,Resolved,System Error,Duplicate order entry,SAP config corrected,Automotive,EMEA,Germany,Siemens Digital Industries,DRIVE,EUR,2154425,John Smith,Urgent
SO-2025-US-00101,2025-10-01,2025-10-01 01:20:00,,48.0,Open,Discount Approval Pending,Discount exceeds threshold,,Automotive,Americas,US East,Lockheed Martin,DRIVE,USD,6559413,John Smith,Standard
SO-2025-US-00102,2025-10-24,2025-10-24 06:34:00,2025-10-25 20:39:00,38.1,Resolved,Regional Price Override Required,Government/education discount,Standard pricing applied,Data Center,Americas,US East,Lockheed Martin,HGX,USD,347401,James Chen,Urgent
SO-2025-HK-00103,2025-12-31,2025-12-31 02:25:00,2025-12-31 16:34:00,14.2,Resolved,Missing Price List,Price list version expired,Manual price entry,Professional Visualization,APAC,Hong Kong,Lenovo Hong Kong Ltd,Quadro,HKD,67093,Sophie Martin,Standard
SO-2025-EU-00104,2025-12-07,2025-12-07 06:17:00,2025-12-08 14:29:00,32.2,Resolved,Regional Price Override Required,Competitive bid requires special pricing,Escalated to HQ,Automotive,EMEA,Sweden,Volvo Group,DRIVE,SEK,4759056,Pierre Durand,Standard
SO-2025-HK-00105,2025-11-13,2025-11-13 04:56:00,2025-11-13 16:46:00,11.8,Resolved,Missing Price List,BU price list not uploaded,Manual price entry,Professional Visualization,APAC,Korea,LG Electronics Korea,Quadro,KRW,67557,Anna Mueller,Standard
SO-2025-EU-00106,2025-10-22,2025-10-22 01:48:00,2025-10-22 11:50:00,10.0,Resolved,Customer Master Data Incomplete,New customer not set up in SAP,Customer data updated,Gaming,EMEA,Switzerland,ABB Switzerland,GeForce RTX,CHF,29258,Priya Sharma,Urgent
SO-2025-HK-00107,2025-10-23,2025-10-23 06:01:00,2025-10-24 18:39:00,36.6,Resolved,Discount Approval Pending,Non-standard deal structure,Approved by regional manager,OEM,APAC,Taiwan,Gigabyte Technology Taiwan,GeForce RTX,TWD,136672,James Chen,Urgent
SO-2025-EU-00108,2025-10-14,2025-10-14 03:03:00,,23.0,Open,Missing Price List,Price list version expired,,Automotive,EMEA,France,Renault Group,DRIVE,EUR,1104529,Anna Mueller,Critical
SO-2026-US-00109,2026-01-24,2026-01-24 01:22:00,,57.7,Open,Missing Price List,Price list version expired,,Professional Visualization,Americas,US East,Lockheed Martin,Quadro,USD,142827,Michael Wong,Urgent
SO-2025-HK-00110,2025-12-21,2025-12-21 01:29:00,,15.9,Open,Currency/FX Mismatch,Order currency differs from price list,,Edge AI,APAC,India,Infosys Technologies,Jetson,INR,84392,Sophie Martin,Standard
SO-2025-US-00111,2025-12-07,2025-12-07 07:31:00,2025-12-10 08:22:00,72.8,Resolved,Missing Price List,BU price list not uploaded,Price list uploaded by BU team,Data Center,Americas,Canada,BlackBerry QNX,HGX,CAD,518847,David Liu,Urgent
SO-2025-US-00112,2025-11-19,2025-11-19 03:43:00,2025-11-19 09:41:00,6.0,Resolved,Missing Price List,Price list version expired,Price list uploaded by BU team,Gaming,Americas,US East,Lockheed Martin,GeForce RTX,USD,48819,Thomas Fischer,Urgent
SO-2026-US-00113,2026-01-11,2026-01-11 03:52:00,,56.3,Open,Regional Price Override Required,Country-specific pricing not configured,,Data Center,Americas,Canada,BlackBerry QNX,HGX,CAD,231781,Anna Mueller,Critical
